Year,Units,Territorio,Value
2010,Porcentaje,ES70,3.5
2011,Porcentaje,ES70,3.9
2012,Porcentaje,ES70,6.5
2013,Porcentaje,ES70,8.5
2014,Porcentaje,ES70,7.2
2015,Porcentaje,ES70,12.4
2016,Porcentaje,ES70,10.8
2017,Porcentaje,ES70,13.6
2018,Porcentaje,ES70,8.8
2010,Porcentaje,ES,4.91
2011,Porcentaje,ES,4.54
2012,Porcentaje,ES,5.84
2013,Porcentaje,ES,6.19
2014,Porcentaje,ES,7.06
2015,Porcentaje,ES,6.44
2016,Porcentaje,ES,5.79
2017,Porcentaje,ES,5.14
2018,Porcentaje,ES,5.4
2019,Porcentaje,ES,4.7
2019,Porcentaje,ES70,3.9
