Year,Units,Territorio,Value
2010,Porcentaje,ES70,30.0
2011,Porcentaje,ES70,31.1
2012,Porcentaje,ES70,18.8
2013,Porcentaje,ES70,25.3
2014,Porcentaje,ES70,37.3
2015,Porcentaje,ES70,35.6
2016,Porcentaje,ES70,40.0
2017,Porcentaje,ES70,32.1
2018,Porcentaje,ES70,16.0
2010,Porcentaje,ES,21.82
2011,Porcentaje,ES,16.05
2012,Porcentaje,ES,12.05
2013,Porcentaje,ES,16.74
2014,Porcentaje,ES,17.05
2015,Porcentaje,ES,15.18
2016,Porcentaje,ES,15.89
2017,Porcentaje,ES,11.54
2018,Porcentaje,ES,15.9
2019,Porcentaje,ES,14.7
2019,Porcentaje,ES70,15.5
