Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES70,162.63
2011,Por 100.000 habitantes,ES70,162.54
2012,Por 100.000 habitantes,ES70,165.71
2013,Por 100.000 habitantes,ES70,147.6
2014,Por 100.000 habitantes,ES70,164.65
2015,Por 100.000 habitantes,ES70,192.31
2016,Por 100.000 habitantes,ES70,198.02
2017,Por 100.000 habitantes,ES70,196.34
2018,Por 100.000 habitantes,ES70,212.4
2010,Por 100.000 habitantes,ES,255.85
2011,Por 100.000 habitantes,ES,253.18
2012,Por 100.000 habitantes,ES,261.08
2013,Por 100.000 habitantes,ES,252.15
2014,Por 100.000 habitantes,ES,252.7
2015,Por 100.000 habitantes,ES,267.61
2016,Por 100.000 habitantes,ES,257.87
2017,Por 100.000 habitantes,ES,263.18
2018,Por 100.000 habitantes,ES,258.64
