Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES70,39.74
2011,Por 100.000 habitantes,ES70,49.28
2012,Por 100.000 habitantes,ES70,53.47
2013,Por 100.000 habitantes,ES70,54.12
2014,Por 100.000 habitantes,ES70,58.63
2015,Por 100.000 habitantes,ES70,65.37
2016,Por 100.000 habitantes,ES70,63.39
2017,Por 100.000 habitantes,ES70,67.17
2018,Por 100.000 habitantes,ES70,74.26
2010,Por 100.000 habitantes,ES,68.24
2011,Por 100.000 habitantes,ES,70.29
2012,Por 100.000 habitantes,ES,78.04
2013,Por 100.000 habitantes,ES,70.79
2014,Por 100.000 habitantes,ES,72.65
2015,Por 100.000 habitantes,ES,85.22
2016,Por 100.000 habitantes,ES,76.81
2017,Por 100.000 habitantes,ES,82.81
2018,Por 100.000 habitantes,ES,84.99
