Indicator,Disaggregation combinations using this value
#1-2-1,4
#1-2-1-SERIE-A,1
#1-2-1-SERIE-B,1
#1-2-1-SERIE-C,1
#1-2-1-SERIE-D,1
#1-2-2,4
#1-2-2-SERIE-A,1
#1-2-2-SERIE-B,1
#1-2-2-SERIE-C,1
#1-2-2-SERIE-D,1
#1-5-1,1
#1-5-1-SERIE-A,1
#10-1-1,4
#10-1-1-SERIE-A,1
#10-1-1-SERIE-B,1
#10-1-1-SERIE-C,1
#10-1-1-SERIE-D,1
#10-2-1,2
#10-2-1-SERIE-A,1
#10-2-1-SERIE-B,1
#10-4-1,1
#10-4-1-SERIE-A,1
#11-1-1,1
#11-1-1-SERIE-A,1
#11-5-1,1
#11-5-1-SERIE-A,1
#11-6-1,4
#11-6-1-SERIE-A,1
#11-6-1-SERIE-B,1
#11-6-1-SERIE-C,1
#11-6-1-SERIE-D,1
#12-5-1,1
#12-5-1-SERIE-A,1
#13-1-1,1
#13-1-1-SERIE-A,1
#13-2-2,2
#13-2-2-SERIE-A,1
#13-2-2-SERIE-B,1
#16-1-4,1
#16-1-4-SERIE-A,1
#17-1-1,1
#17-1-1-SERIE-A,1
#17-8-1,1
#17-8-1-SERIE-A,1
#2-2-2,1
#2-2-2-SERIE-A,1
#2-4-1,1
#2-4-1-SERIE-A,1
#3-1-1,1
#3-1-1-SERIE-A,1
#3-1-2,1
#3-1-2-SERIE-A,1
#3-2-1,1
#3-2-1-SERIE-A,1
#3-2-2,1
#3-2-2-SERIE-A,1
#3-4-1,4
#3-4-1-SERIE-A,1
#3-4-1-SERIE-B,1
#3-4-1-SERIE-C,1
#3-4-1-SERIE-D,1
#3-4-2,1
#3-4-2-SERIE-A,1
#3-6-1,1
#3-6-1-SERIE-A,1
#3-7-2,2
#3-7-2-SERIE-A,1
#3-7-2-SERIE-B,1
#3-8-1,1
#3-8-1-SERIE-A,1
#3-9-3,1
#3-9-3-SERIE-A,1
#3-a-1,1
#3-a-1-SERIE-A,1
#3-c-1,4
#3-c-1-SERIE-A,1
#3-c-1-SERIE-B,1
#3-c-1-SERIE-C,1
#3-c-1-SERIE-D,1
#4-3-1,4
#4-3-1-SERIE-A,1
#4-3-1-SERIE-B,1
#4-3-1-SERIE-C,1
#4-3-1-SERIE-D,1
#4-4-1,3
#4-4-1-SERIE-A,1
#4-4-1-SERIE-B,1
#4-4-1-SERIE-C,1
#4-5-1,5
#4-5-1-SERIE-A,1
#4-5-1-SERIE-B,1
#4-5-1-SERIE-C,1
#4-5-1-SERIE-D,1
#4-5-1-SERIE-E,1
#5-4-1,3
#5-4-1-SERIE-A,1
#5-4-1-SERIE-B,1
#5-4-1-SERIE-C,1
#5-5-2,2
#5-5-2-SERIE-A,1
#5-5-2-SERIE-B,1
#5-a-1a,3
#5-a-1a-SERIE-A,1
#5-a-1a-SERIE-B,1
#5-a-1a-SERIE-C,1
#5-a-1b,3
#5-a-1b-SERIE-A,1
#5-a-1b-SERIE-B,1
#5-a-1b-SERIE-C,1
#5-b-1,3
#5-b-1-SERIE-A,1
#5-b-1-SERIE-B,1
#5-b-1-SERIE-C,1
#8-1-1,1
#8-1-1-SERIE-A,1
#8-2-1,2
#8-2-1-SERIE-A,1
#8-2-1-SERIE-B,1
#8-5-1,3
#8-5-1-SERIE-A,1
#8-5-1-SERIE-B,1
#8-5-1-SERIE-C,1
#8-5-2,3
#8-5-2-SERIE-A,1
#8-5-2-SERIE-B,1
#8-5-2-SERIE-C,1
#8-6-1,1
#8-6-1-SERIE-A,1
#9-2-1,2
#9-2-1-SERIE-A,1
#9-2-1-SERIE-B,1
#9-2-2,3
#9-2-2-SERIE-A,1
#9-2-2-SERIE-B,1
#9-2-2-SERIE-C,1
#9-4-1,2
#9-4-1-SERIE-A,1
#9-4-1-SERIE-B,1
#9-5-1,1
#9-5-1-SERIE-A,1
#9-5-2,1
#9-5-2-SERIE-A,1
