Year,Units,Territorio,Serie,Serie temporal,Value
2010,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.37
2011,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.36
2012,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.36
2013,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.34
2014,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.33
2015,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.32
2016,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.32
2017,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.32
2018,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.31
2010,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.34
2011,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.34
2012,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.34
2013,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.32
2014,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.33
2015,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.32
2016,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.3
2017,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.31
2018,Kg de CO2 equivalente por euro de PIB,ES,Serie A,Emisiones totales de gases de efecto invernadero de las unidades residentes por unidad de PIB,0.29
2010,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.44
2011,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.99
2012,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.89
2013,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.39
2014,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.22
2015,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.13
2016,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.24
2017,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.42
2018,Toneladas de CO2 equivalente per cápita,ES70,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,6.21
2010,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.79
2011,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.77
2012,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.66
2013,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.13
2014,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.26
2015,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.5
2016,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.2
2017,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.5
2018,Toneladas de CO2 equivalente per cápita,ES,Serie B,Emisiones totales de gases de efecto invernadero de las unidades residentes per cápita,7.29
