Year,Units,Territorio,Value
2010,Por 100.000 nacidos vivos,ES70,5.46
2011,Por 100.000 nacidos vivos,ES70,0.0
2012,Por 100.000 nacidos vivos,ES70,5.81
2013,Por 100.000 nacidos vivos,ES70,6.31
2014,Por 100.000 nacidos vivos,ES70,0.0
2015,Por 100.000 nacidos vivos,ES70,0.0
2016,Por 100.000 nacidos vivos,ES70,6.19
2017,Por 100.000 nacidos vivos,ES70,6.34
2018,Por 100.000 nacidos vivos,ES70,0.0
2010,Por 100.000 nacidos vivos,ES,4.12
2011,Por 100.000 nacidos vivos,ES,3.0
2012,Por 100.000 nacidos vivos,ES,2.2
2013,Por 100.000 nacidos vivos,ES,4.2
2014,Por 100.000 nacidos vivos,ES,2.1
2015,Por 100.000 nacidos vivos,ES,3.57
2016,Por 100.000 nacidos vivos,ES,3.65
2017,Por 100.000 nacidos vivos,ES,3.31
2018,Por 100.000 nacidos vivos,ES,1.88
