Year,Units,Territorio,Value
2010,Por 1.000 habitantes,ES70,10.74
2011,Por 1.000 habitantes,ES70,9.57
2012,Por 1.000 habitantes,ES70,8.83
2013,Por 1.000 habitantes,ES70,7.87
2014,Por 1.000 habitantes,ES70,7.69
2015,Por 1.000 habitantes,ES70,7.36
2016,Por 1.000 habitantes,ES70,6.96
2017,Por 1.000 habitantes,ES70,5.88
2018,Por 1.000 habitantes,ES70,5.56
2010,Por 1.000 habitantes,ES,10.61
2011,Por 1.000 habitantes,ES,9.51
2012,Por 1.000 habitantes,ES,8.98
2013,Por 1.000 habitantes,ES,8.38
2014,Por 1.000 habitantes,ES,8.08
2015,Por 1.000 habitantes,ES,7.72
2016,Por 1.000 habitantes,ES,7.34
2017,Por 1.000 habitantes,ES,7.04
2018,Por 1.000 habitantes,ES,6.23
2019,Por 1.000 habitantes,ES,6.07
