Year,Units,Territorio,Serie,Edad,Value
2015,Porcentaje,ES70,Serie A,Entre 16 y 74 años,60.7
2016,Porcentaje,ES70,Serie A,Entre 16 y 74 años,59.4
2017,Porcentaje,ES70,Serie A,Entre 16 y 74 años,65.8
2019,Porcentaje,ES70,Serie A,Entre 16 y 74 años,64.7
2015,Porcentaje,ES70,Serie B,Entre 16 y 24 años,96.1
2016,Porcentaje,ES70,Serie B,Entre 16 y 24 años,89.2
2017,Porcentaje,ES70,Serie B,Entre 16 y 24 años,90.4
2019,Porcentaje,ES70,Serie B,Entre 16 y 24 años,95.8
2015,Porcentaje,ES,Serie A,Entre 16 y 74 años,65.23
2016,Porcentaje,ES,Serie A,Entre 16 y 74 años,65.22
2017,Porcentaje,ES,Serie A,Entre 16 y 74 años,67.49
2019,Porcentaje,ES,Serie A,Entre 16 y 74 años,70.76
2015,Porcentaje,ES,Serie B,Entre 16 y 24 años,95.15
2016,Porcentaje,ES,Serie B,Entre 16 y 24 años,94.18
2017,Porcentaje,ES,Serie B,Entre 16 y 24 años,93.16
2019,Porcentaje,ES,Serie B,Entre 16 y 24 años,95.11
2015,Porcentaje,ES,Serie C,Entre 25 y 74 años,61.28
2016,Porcentaje,ES,Serie C,Entre 25 y 74 años,61.41
2017,Porcentaje,ES,Serie C,Entre 25 y 74 años,64.11
2019,Porcentaje,ES,Serie C,Entre 25 y 74 años,67.48
2015,Porcentaje,ES70,Serie C,Entre 25 y 74 años,55.89
2016,Porcentaje,ES70,Serie C,Entre 25 y 74 años,55.3
2017,Porcentaje,ES70,Serie C,Entre 25 y 74 años,62.49
2019,Porcentaje,ES70,Serie C,Entre 25 y 74 años,60.4
