Year,Units,Territorio,Serie,Sexo,Value
2013,Porcentaje,ES70,Serie A,Ambos sexos,33.08
2016,Porcentaje,ES70,Serie A,Ambos sexos,32.76
2013,Porcentaje,ES70,Serie B,Hombres,34.55
2016,Porcentaje,ES70,Serie B,Hombres,32.69
2013,Porcentaje,ES70,Serie C,Mujeres,30.28
2016,Porcentaje,ES70,Serie C,Mujeres,32.9
2013,Porcentaje,ES,Serie A,Ambos sexos,43.74
2016,Porcentaje,ES,Serie A,Ambos sexos,44.88
2013,Porcentaje,ES,Serie B,Hombres,45.03
2016,Porcentaje,ES,Serie B,Hombres,44.08
2013,Porcentaje,ES,Serie C,Mujeres,41.31
2016,Porcentaje,ES,Serie C,Mujeres,46.64
