Year,Units,Territorio,Serie,Sexo,Value
2010,Porcentaje,ES70,Serie A,Ambos sexos,92.5
2011,Porcentaje,ES70,Serie A,Ambos sexos,91.3
2012,Porcentaje,ES70,Serie A,Ambos sexos,94.0
2013,Porcentaje,ES70,Serie A,Ambos sexos,93.3
2014,Porcentaje,ES70,Serie A,Ambos sexos,94.7
2015,Porcentaje,ES70,Serie A,Ambos sexos,92.9
2017,Porcentaje,ES70,Serie A,Ambos sexos,93.7
2019,Porcentaje,ES70,Serie A,Ambos sexos,96.2
2010,Porcentaje,ES70,Serie C,Mujeres,92.7
2011,Porcentaje,ES70,Serie C,Mujeres,91.2
2012,Porcentaje,ES70,Serie C,Mujeres,92.9
2013,Porcentaje,ES70,Serie C,Mujeres,92.5
2014,Porcentaje,ES70,Serie C,Mujeres,95.3
2015,Porcentaje,ES70,Serie C,Mujeres,95.4
2017,Porcentaje,ES70,Serie C,Mujeres,94.4
2019,Porcentaje,ES70,Serie C,Mujeres,97.2
2010,Porcentaje,ES70,Serie B,Hombres,92.3
2011,Porcentaje,ES70,Serie B,Hombres,91.4
2012,Porcentaje,ES70,Serie B,Hombres,95.1
2013,Porcentaje,ES70,Serie B,Hombres,94.1
2014,Porcentaje,ES70,Serie B,Hombres,94.1
2015,Porcentaje,ES70,Serie B,Hombres,90.3
2017,Porcentaje,ES70,Serie B,Hombres,92.9
2019,Porcentaje,ES70,Serie B,Hombres,95.2
2012,Porcentaje,ES,Serie A,Ambos sexos,94.38
2013,Porcentaje,ES,Serie A,Ambos sexos,94.18
2014,Porcentaje,ES,Serie A,Ambos sexos,95.01
2015,Porcentaje,ES,Serie A,Ambos sexos,95.45
2017,Porcentaje,ES,Serie A,Ambos sexos,96.16
2019,Porcentaje,ES,Serie A,Ambos sexos,96.92
2012,Porcentaje,ES,Serie C,Mujeres,94.1
2013,Porcentaje,ES,Serie C,Mujeres,94.35
2014,Porcentaje,ES,Serie C,Mujeres,95.33
2015,Porcentaje,ES,Serie C,Mujeres,95.52
2017,Porcentaje,ES,Serie C,Mujeres,96.11
2019,Porcentaje,ES,Serie C,Mujeres,97.12
2012,Porcentaje,ES,Serie B,Hombres,94.65
2013,Porcentaje,ES,Serie B,Hombres,94.01
2014,Porcentaje,ES,Serie B,Hombres,94.68
2015,Porcentaje,ES,Serie B,Hombres,95.38
2017,Porcentaje,ES,Serie B,Hombres,96.21
2019,Porcentaje,ES,Serie B,Hombres,96.73
