Year,Units,Territorio,Value
2010,Porcentaje,ES70,4.52
2011,Porcentaje,ES70,4.14
2012,Porcentaje,ES70,4.03
2013,Porcentaje,ES70,4.21
2014,Porcentaje,ES70,3.66
2015,Porcentaje,ES70,3.28
2016,Porcentaje,ES70,3.67
2017,Porcentaje,ES70,2.9
2018,Porcentaje,ES70,3.16
2010,Porcentaje,ES,12.85
2011,Porcentaje,ES,12.76
2012,Porcentaje,ES,12.61
2013,Porcentaje,ES,12.36
2014,Porcentaje,ES,12.35
2015,Porcentaje,ES,12.45
2016,Porcentaje,ES,12.45
2017,Porcentaje,ES,12.71
2018,Porcentaje,ES,12.65
2019,Porcentaje,ES,12.61
2019,Porcentaje,ES70,3.47
