Year,Units,Territorio,Serie,Saldo contable,Value
2010,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.33
2011,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.31
2012,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.31
2013,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.29
2014,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.28
2015,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.28
2016,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.28
2017,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.29
2018,Kg de CO2 equivalente por euro de PIB,ES70,Serie A,PIB,0.28
2010,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.45
2011,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.4
2012,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.47
2013,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.31
2014,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.18
2015,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.12
2016,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.14
2017,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.1
2018,Kg de CO2 equivalente por euro de PIB,ES70,Serie B,Valor añadido del sector manufacturero,0.1
2010,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.27
2011,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.28
2012,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.28
2013,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.26
2014,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.26
2015,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.27
2016,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.25
2017,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.25
2018,Kg de CO2 equivalente por euro de PIB,ES,Serie A,PIB,0.24
2010,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.67
2011,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.65
2012,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.67
2013,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.64
2014,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.62
2015,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.61
2016,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.6
2017,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.58
2018,Kg de CO2 equivalente por euro de PIB,ES,Serie B,Valor añadido del sector manufacturero,0.58
