Year,Units,Territorio,Value
2010,Porcentaje,ES70,35.7
2011,Porcentaje,ES70,37.8
2012,Porcentaje,ES70,40.3
2013,Porcentaje,ES70,35.5
2014,Porcentaje,ES70,37
2015,Porcentaje,ES70,37.9
2016,Porcentaje,ES70,44.6
2017,Porcentaje,ES70,40.2
2018,Porcentaje,ES70,36.4
2010,Porcentaje,ES,26.1
2011,Porcentaje,ES,26.73
2012,Porcentaje,ES,27.24
2013,Porcentaje,ES,27.31
2014,Porcentaje,ES,29.15
2015,Porcentaje,ES,28.65
2016,Porcentaje,ES,27.91
2017,Porcentaje,ES,26.58
2018,Porcentaje,ES,26.09
2019,Porcentaje,ES,25.29
2019,Porcentaje,ES70,35
