Year,Units,Territorio,Value
2010,Porcentaje,ES70,14.8
2011,Porcentaje,ES70,19.9
2012,Porcentaje,ES70,21.5
2013,Porcentaje,ES70,22.8
2014,Porcentaje,ES70,28.1
2015,Porcentaje,ES70,20.8
2016,Porcentaje,ES70,29.5
2017,Porcentaje,ES70,19.2
2018,Porcentaje,ES70,16.3
2010,Porcentaje,ES,10.82
2011,Porcentaje,ES,13.35
2012,Porcentaje,ES,14.28
2013,Porcentaje,ES,15.68
2014,Porcentaje,ES,17.12
2015,Porcentaje,ES,15.44
2016,Porcentaje,ES,14.85
2017,Porcentaje,ES,12.79
2018,Porcentaje,ES,10.65
2019,Porcentaje,ES,10.84
2019,Porcentaje,ES70,14.8
