Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,20.43
2013,UNIDAD_MEDIDA.PT,ES,23.29
2014,UNIDAD_MEDIDA.PT,ES,23.36
2015,UNIDAD_MEDIDA.PT,ES,23.53
2016,UNIDAD_MEDIDA.PT,ES,24.46
2017,UNIDAD_MEDIDA.PT,ES,24.3
2018,UNIDAD_MEDIDA.PT,ES,23.83
2019,UNIDAD_MEDIDA.PT,ES,23.64
2020,UNIDAD_MEDIDA.PT,ES,23.01
2012,UNIDAD_MEDIDA.PT,ES70,20.44
2013,UNIDAD_MEDIDA.PT,ES70,21.96
2014,UNIDAD_MEDIDA.PT,ES70,22.16
2015,UNIDAD_MEDIDA.PT,ES70,21.42
2016,UNIDAD_MEDIDA.PT,ES70,21.59
2017,UNIDAD_MEDIDA.PT,ES70,21.52
2018,UNIDAD_MEDIDA.PT,ES70,21.07
2019,UNIDAD_MEDIDA.PT,ES70,20.87
2020,UNIDAD_MEDIDA.PT,ES70,21.64
