Year,Units,Territorio,Serie,Serie temporal,Value
2011,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,31.10
2012,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,18.80
2013,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,25.30
2015,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,35.60
2016,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,40.00
2017,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,32.10
2014,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,37.30
2018,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,16.00
2010,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,21.82
2010,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,30.00
2011,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,16.05
2012,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,12.05
2013,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,16.74
2014,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,17.05
2015,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,15.18
2016,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,15.89
2017,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,11.54
2018,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,15.90
2019,Porcentaje,ES,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,14.70
2019,Porcentaje,ES70,Serie A,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,15.50
2010,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,18.42
2011,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.59
2012,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.02
2013,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,18.34
2015,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.69
2014,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.86
2016,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,16.24
2017,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.18
2018,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,16.99
2019,Porcentaje,ES,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,14.10
2010,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,12.57
2011,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,15.12
2012,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,18.26
2013,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,24.74
2014,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,18.38
2015,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,23.24
2016,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,28.58
2017,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,25.28
2018,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,13.46
2019,Porcentaje,ES70,Serie B,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,14.20
