Year,Units,general.territorio,Serie,DIM_DES.NIVEL_GOBIERNO,Value
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,20.07
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,17.92
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,20.59
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,21.24
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,23.30
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,23.29
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,26.55
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,14.17
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,11.23
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,9.21
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,8.54
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,8.60
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,9.29
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,7.14
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,9.12
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,8.88
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,10.01
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,10.57
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,12.77
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,10.77
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,10.78
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,11.48
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,12.36
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,13.29
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,12.73
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,13.78
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,12.53
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,13.39
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,16.78
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS_LOCAL,20.40
