Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TIPO_TRATAMIENTO,Value
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,485.90
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,608.32
2017,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,598.90
2016,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,581.20
2015,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,594.10
2014,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,594.60
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,571.40
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,626.10
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,669.70
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,701.40
2017,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,483.86
2016,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,471.01
2015,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,466.41
2014,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,459.12
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,467.57
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,478.89
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,498.16
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,523.6
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,11.59
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,0.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,0.00
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,0.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,0.00
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,0.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,12.73
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,12.02
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,12.71
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,11.80
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,53.39
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,71.26
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,69.97
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,79.94
