Year,Units,Territorio,Value
2010,Toneladas de CO2 equivalente per cápita,ES70,7.44
2011,Toneladas de CO2 equivalente per cápita,ES70,6.99
2012,Toneladas de CO2 equivalente per cápita,ES70,6.89
2013,Toneladas de CO2 equivalente per cápita,ES70,6.39
2014,Toneladas de CO2 equivalente per cápita,ES70,6.22
2015,Toneladas de CO2 equivalente per cápita,ES70,6.13
2016,Toneladas de CO2 equivalente per cápita,ES70,6.24
2017,Toneladas de CO2 equivalente per cápita,ES70,6.42
2018,Toneladas de CO2 equivalente per cápita,ES70,6.21
2010,Toneladas de CO2 equivalente per cápita,ES,7.79
2011,Toneladas de CO2 equivalente per cápita,ES,7.77
2012,Toneladas de CO2 equivalente per cápita,ES,7.66
2013,Toneladas de CO2 equivalente per cápita,ES,7.13
2014,Toneladas de CO2 equivalente per cápita,ES,7.26
2015,Toneladas de CO2 equivalente per cápita,ES,7.5
2016,Toneladas de CO2 equivalente per cápita,ES,7.2
2017,Toneladas de CO2 equivalente per cápita,ES,7.5
2018,Toneladas de CO2 equivalente per cápita,ES,7.29
