Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PH,ES,8.08
2011,UNIDAD_MEDIDA.PH,ES,8.08
2012,UNIDAD_MEDIDA.PH,ES,8.08
2013,UNIDAD_MEDIDA.PH,ES,8.08
2014,UNIDAD_MEDIDA.PH,ES,8.07
2015,UNIDAD_MEDIDA.PH,ES,8.07
2016,UNIDAD_MEDIDA.PH,ES,8.07
2017,UNIDAD_MEDIDA.PH,ES,8.07
2018,UNIDAD_MEDIDA.PH,ES,8.07
2019,UNIDAD_MEDIDA.PH,ES,8.06
2020,UNIDAD_MEDIDA.PH,ES,8.06
2010,UNIDAD_MEDIDA.PH,ES70,8.08
2011,UNIDAD_MEDIDA.PH,ES70,8.07
2012,UNIDAD_MEDIDA.PH,ES70,8.07
2013,UNIDAD_MEDIDA.PH,ES70,8.07
2014,UNIDAD_MEDIDA.PH,ES70,8.07
2015,UNIDAD_MEDIDA.PH,ES70,8.06
2016,UNIDAD_MEDIDA.PH,ES70,8.06
2017,UNIDAD_MEDIDA.PH,ES70,8.06
2018,UNIDAD_MEDIDA.PH,ES70,8.06
2019,UNIDAD_MEDIDA.PH,ES70,8.06
2020,UNIDAD_MEDIDA.PH,ES70,8.05
