Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,44.33
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,39.80
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,35.04
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,34.03
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,39.77
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,38.37
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,43.20
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,40.95
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,44.46
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,48.68
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,46.67
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,47.90
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,50.10
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,45.62
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,46.45
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,40.26
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,31.80
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,32.62
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,37.29
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,37.42
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,46.67
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,47.63
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,52.18
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,49.03
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,49.07
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,51.13
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,54.31
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,50.39
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,56.92
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,50.33
