Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,1.37
2011,UNIDAD_MEDIDA.IX,ES,1.38
2012,UNIDAD_MEDIDA.IX,ES,1.39
2013,UNIDAD_MEDIDA.IX,ES,1.4
2014,UNIDAD_MEDIDA.IX,ES,1.4
2015,UNIDAD_MEDIDA.IX,ES,1.41
2016,UNIDAD_MEDIDA.IX,ES,1.41
2017,UNIDAD_MEDIDA.IX,ES,1.41
2018,UNIDAD_MEDIDA.IX,ES,1.42
2019,UNIDAD_MEDIDA.IX,ES,1.42
2020,UNIDAD_MEDIDA.IX,ES,1.42
2021,UNIDAD_MEDIDA.IX,ES,1.43
2010,UNIDAD_MEDIDA.IX,ES70,1.37
2011,UNIDAD_MEDIDA.IX,ES70,1.4
2012,UNIDAD_MEDIDA.IX,ES70,1.4
2013,UNIDAD_MEDIDA.IX,ES70,1.41
2014,UNIDAD_MEDIDA.IX,ES70,1.41
2015,UNIDAD_MEDIDA.IX,ES70,1.41
2016,UNIDAD_MEDIDA.IX,ES70,1.41
2017,UNIDAD_MEDIDA.IX,ES70,1.42
2018,UNIDAD_MEDIDA.IX,ES70,1.43
2019,UNIDAD_MEDIDA.IX,ES70,1.43
2020,UNIDAD_MEDIDA.IX,ES70,1.43
2021,UNIDAD_MEDIDA.IX,ES70,1.43
