Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,1.43
2011,UNIDAD_MEDIDA.IX,ES,1.43
2012,UNIDAD_MEDIDA.IX,ES,1.46
2013,UNIDAD_MEDIDA.IX,ES,1.46
2014,UNIDAD_MEDIDA.IX,ES,1.47
2015,UNIDAD_MEDIDA.IX,ES,1.48
2016,UNIDAD_MEDIDA.IX,ES,1.48
2017,UNIDAD_MEDIDA.IX,ES,1.49
2018,UNIDAD_MEDIDA.IX,ES,1.49
2019,UNIDAD_MEDIDA.IX,ES,1.5
2020,UNIDAD_MEDIDA.IX,ES,1.5
2021,UNIDAD_MEDIDA.IX,ES,1.51
2010,UNIDAD_MEDIDA.IX,ES70,1.41
2011,UNIDAD_MEDIDA.IX,ES70,1.4
2012,UNIDAD_MEDIDA.IX,ES70,1.41
2013,UNIDAD_MEDIDA.IX,ES70,1.4
2014,UNIDAD_MEDIDA.IX,ES70,1.42
2015,UNIDAD_MEDIDA.IX,ES70,1.41
2016,UNIDAD_MEDIDA.IX,ES70,1.41
2017,UNIDAD_MEDIDA.IX,ES70,1.42
2018,UNIDAD_MEDIDA.IX,ES70,1.43
2019,UNIDAD_MEDIDA.IX,ES70,1.43
2020,UNIDAD_MEDIDA.IX,ES70,1.43
2021,UNIDAD_MEDIDA.IX,ES70,1.44
