Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.95
2011,UNIDAD_MEDIDA.IX,ES,0.95
2012,UNIDAD_MEDIDA.IX,ES,0.95
2013,UNIDAD_MEDIDA.IX,ES,0.93
2014,UNIDAD_MEDIDA.IX,ES,0.93
2015,UNIDAD_MEDIDA.IX,ES,0.92
2016,UNIDAD_MEDIDA.IX,ES,0.95
2017,UNIDAD_MEDIDA.IX,ES,0.97
2018,UNIDAD_MEDIDA.IX,ES,0.98
2019,UNIDAD_MEDIDA.IX,ES,0.99
2020,UNIDAD_MEDIDA.IX,ES,1.01
2021,UNIDAD_MEDIDA.IX,ES,1.02
2010,UNIDAD_MEDIDA.IX,ES70,0.92
2011,UNIDAD_MEDIDA.IX,ES70,0.92
2012,UNIDAD_MEDIDA.IX,ES70,0.9
2013,UNIDAD_MEDIDA.IX,ES70,0.91
2014,UNIDAD_MEDIDA.IX,ES70,0.9
2015,UNIDAD_MEDIDA.IX,ES70,0.91
2016,UNIDAD_MEDIDA.IX,ES70,0.93
2017,UNIDAD_MEDIDA.IX,ES70,0.94
2018,UNIDAD_MEDIDA.IX,ES70,0.95
2019,UNIDAD_MEDIDA.IX,ES70,0.97
2020,UNIDAD_MEDIDA.IX,ES70,0.99
2021,UNIDAD_MEDIDA.IX,ES70,1.02
