Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.07
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.07
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.1
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.11
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.12
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.13
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.15
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.61
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.61
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.61
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.61
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.61
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.63
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.63
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.16
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.17
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.2
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.2
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.22
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.23
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.28
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.29
