Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,22.91
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,22.91
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,23.92
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,23.92
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,24.60
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,24.60
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,26.20
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,26.20
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,27.96
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,27.96
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,29.16
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,29.16
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,30.39
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,30.39
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,31.53
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,31.53
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,32.53
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,32.53
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,33.27
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,33.27
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,34.20
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,34.20
