Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.53
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.24
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.91
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.33
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.56
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.79
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.99
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,8.21
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,8.88
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,9.32
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,9.65
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,10.41
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,10.60
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,11.84
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,442.85
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,431.66
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,429.52
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,432.75
2014,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,453.17
2015,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,456.85
2016,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,458.94
2017,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,474.84
2018,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,471.25
2019,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,464.77
2020,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,478.27
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,465.98
2022,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,425.4
