Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.12
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.11
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.11
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.1
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.08
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.07
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.19
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.18
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.18
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.16
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.17
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.16
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.16
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.16
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.15
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.12
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.04
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.04
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.03
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.02
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0.02
2010,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.14
2011,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.13
2012,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.15
2013,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.15
2014,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.18
2015,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.13
2016,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.15
2017,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.14
2018,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.12
2019,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0.1
2010,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.24
2011,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.21
2012,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.26
2013,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.26
2014,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.32
2015,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.23
2016,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.27
2017,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.26
2018,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.23
2019,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_B,SEXO.M,0.18
2010,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.03
2011,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.04
2012,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.03
2013,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.04
2014,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.04
2015,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.02
2016,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.04
2017,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.03
2018,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.02
2019,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_C,SEXO.F,0.02
