Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES70,46.56
2011,Por 100.000 habitantes,ES70,57.57
2012,Por 100.000 habitantes,ES70,52.70
2013,Por 100.000 habitantes,ES70,48.19
2014,Por 100.000 habitantes,ES70,48.72
2015,Por 100.000 habitantes,ES70,34.36
2016,Por 100.000 habitantes,ES70,22.87
2017,Por 100.000 habitantes,ES70,19.69
2018,Por 100.000 habitantes,ES70,19.28
2010,Por 100.000 habitantes,ES,21.04
2011,Por 100.000 habitantes,ES,21.39
2012,Por 100.000 habitantes,ES,21.36
2013,Por 100.000 habitantes,ES,20.16
2014,Por 100.000 habitantes,ES,20.72
2015,Por 100.000 habitantes,ES,21.94
2016,Por 100.000 habitantes,ES,20.04
2017,Por 100.000 habitantes,ES,21.00
2018,Por 100.000 habitantes,ES,21.23
