Year,Units,general.territorio,Serie,DIM_DES.TIPO_ENFERMEDAD,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,255.85
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,253.18
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,261.08
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,252.15
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,252.70
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,267.61
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,257.87
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,263.18
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,258.64
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,221.87
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,225.59
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,228.56
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,229.94
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,228.76
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,230.97
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,234.00
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,234.40
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,232.25
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.04
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.39
