Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.PER_100000,ES,173.75
2016,UNIDAD_MEDIDA.PER_100000,ES,167.19
2017,UNIDAD_MEDIDA.PER_100000,ES,171.11
2018,UNIDAD_MEDIDA.PER_100000,ES,174.12
2019,UNIDAD_MEDIDA.PER_100000,ES,179.55
2020,UNIDAD_MEDIDA.PER_100000,ES,136.08
2021,UNIDAD_MEDIDA.PER_100000,ES,156.70
2015,UNIDAD_MEDIDA.PER_100000,ES70,308.98
2016,UNIDAD_MEDIDA.PER_100000,ES70,236.06
2017,UNIDAD_MEDIDA.PER_100000,ES70,223.31
2018,UNIDAD_MEDIDA.PER_100000,ES70,242.92
2019,UNIDAD_MEDIDA.PER_100000,ES70,248.16
2020,UNIDAD_MEDIDA.PER_100000,ES70,212.15
2021,UNIDAD_MEDIDA.PER_100000,ES70,233.27
