Year,Units,general.territorio,Serie,id_dim,DIM_DES_SEXO,DIM_DES_SUSTANCIA_ADICTIVA,Value
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,179.30
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,181.7
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,308.98
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,313.2
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,50.96
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,51.64
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,59.08
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,59.88
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,96.00
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,97.33
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,22.53
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,22.83
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,101.9
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,101.93
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,173.7
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,173.75
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,32.20
