Year,Units,general.territorio,Serie,DIM_DES.EDAD,Value
2014,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,7.69
2011,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,9.57
2010,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,10.74
2016,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,7.34
2019,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,5.07
2017,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,7.04
2013,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,8.38
2010,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,10.61
2018,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,5.56
2017,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,5.88
2011,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,9.51
2012,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,8.98
2014,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,8.08
2016,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,6.96
2015,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,7.36
2019,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,5.96
2015,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,7.72
2012,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,8.83
2018,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_B,EDAD.Y15T19,6.23
2013,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_B,EDAD.Y15T19,7.87
2014,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.12
2017,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.10
2015,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.09
2010,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.12
2018,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.00
2017,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.04
2016,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.08
2015,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.09
2014,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.10
2013,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.19
2012,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.12
2011,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.16
2010,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.12
2016,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.10
2018,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.06
2019,UNIDAD_MEDIDA.PER_1000_POP,ES70,SERIE.SERIE_A,EDAD.Y10T14,0.04
2019,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.07
2011,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.14
2012,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.13
2013,UNIDAD_MEDIDA.PER_1000_POP,ES,SERIE.SERIE_A,EDAD.Y10T14,0.13
