Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,48.99
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,52.29
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,53.29
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,54.39
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,56.62
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,51.29
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,55.52
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,50.05
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,50.58
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,47.89
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,48.36
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,49.37
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,48.25
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,47.08
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,46.15
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,45.14
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,44.03
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,42.78
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,42.87
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,42.48
