Year,Units,general.territorio,Value
2010,Por 10.000 habitantes,ES70,48.83
2011,Por 10.000 habitantes,ES70,48.39
2012,Por 10.000 habitantes,ES70,46.50
2013,Por 10.000 habitantes,ES70,49.50
2014,Por 10.000 habitantes,ES70,53.44
2015,Por 10.000 habitantes,ES70,57.03
2016,Por 10.000 habitantes,ES70,59.43
2017,Por 10.000 habitantes,ES70,61.54
2018,Por 10.000 habitantes,ES70,63.14
2010,Por 10.000 habitantes,ES,56.34
2011,Por 10.000 habitantes,ES,57.31
2012,Por 10.000 habitantes,ES,56.61
2013,Por 10.000 habitantes,ES,57.09
2014,Por 10.000 habitantes,ES,59.00
2015,Por 10.000 habitantes,ES,61.07
2016,Por 10.000 habitantes,ES,62.61
2017,Por 10.000 habitantes,ES,64.26
2018,Por 10.000 habitantes,ES,65.57
2019,Por 10.000 habitantes,ES,66.79
2019,Por 10.000 habitantes,ES70,65.34
