Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,5.96
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,6.21
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,6.67
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,6.98
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,7.17
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,7.46
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,7.68
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,7.86
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,8.05
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,8.20
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,8.39
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,8.52
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,4.85
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,4.87
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,5.19
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,5.42
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,5.73
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,5.90
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,5.98
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,6.16
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,6.34
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,6.42
2020,UNIDAD_MEDIDA.PER_10000_POP,ES70,6.48
2021,UNIDAD_MEDIDA.PER_10000_POP,ES70,6.60
