Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,13.76
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,13.88
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,14.01
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,14.33
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,14.72
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,15.02
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,15.29
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,15.54
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,15.77
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,15.90
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,16.21
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,16.47
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,16.49
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,11.27
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,11.26
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,11.30
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,11.70
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,12.05
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,12.53
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,12.97
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,13.34
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,13.58
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,13.89
2020,UNIDAD_MEDIDA.PER_10000_POP,ES70,14.19
2021,UNIDAD_MEDIDA.PER_10000_POP,ES70,14.50
2022,UNIDAD_MEDIDA.PER_10000_POP,ES70,14.63
