Year,Units,general.territorio,Serie,DIM_DES.OCUPACION_SANITARIA,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,47.89
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.36
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.99
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,50.05
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,51.29
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,52.29
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,53.29
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,54.39
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,55.52
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,56.62
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,58.28
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,59.83
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,60.81
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,56.34
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.31
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,56.61
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.09
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,59.00
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,61.07
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,62.61
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,64.26
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,65.57
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,66.79
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,68.58
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,69.73
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,69.94
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.96
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.21
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.67
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.98
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.17
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.46
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.68
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.86
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.05
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.20
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.39
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.52
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.52
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,13.76
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,13.88
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.01
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.33
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.72
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.02
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.29
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.54
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.77
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.90
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,16.21
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,16.47
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,16.49
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,42.48
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,42.87
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,42.78
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,44.03
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,45.14
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,46.15
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,47.08
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.25
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,49.37
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,50.58
2020,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,52.57
2021,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,54.32
2022,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,55.85
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,48.83
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,48.39
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,46.50
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,49.50
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,53.44
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.03
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,59.43
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,61.54
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,63.14
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,65.34
2020,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,69.09
2021,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,72.01
2022,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,75.03
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,4.85
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,4.87
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.19
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.42
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.73
2015,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.90
2016,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.98
2017,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.16
2018,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.34
2019,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.42
2020,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.48
2021,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.60
2022,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.73
2010,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.27
2011,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.26
2012,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.30
2013,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.70
2014,UNIDAD_MEDIDA.PER_10000_POP,ES70,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,12.05
