Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,DIM_DES.EDAD,Value
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,92.75
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,93.68
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,91.87
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,67.57
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,64.59
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,70.60
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,95.40
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,94.38
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.49
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,68.75
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,62.94
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,74.86
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,94.39
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,93.93
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,94.86
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,67.70
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,64.07
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,71.39
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,95.09
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,94.05
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.19
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,69.67
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,64.30
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,75.36
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,95.61
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.89
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,95.33
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,73.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,70.76
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,75.55
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.01
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.22
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.87
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,70.43
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,65.16
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,76.09
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,95.58
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.08
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.04
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,66.94
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,58.88
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,75.32
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.07
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.14
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.05
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,71.52
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,65.60
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,77.74
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,95.50
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,93.70
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.50
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,65.50
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,57.10
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,73.90
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.18
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.32
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.09
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,73.40
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,67.65
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,79.48
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.01
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.63
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.41
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,70.93
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,66.99
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,75.52
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.26
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.39
