Year,Units,general.territorio,Serie,DIM_DES_SEXO,DIM_DES_EDAD,DIM_DES_TIPO_COMPETENCIA,Value
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,68.74
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,65.95
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,71.59
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,60.34
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,60.21
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,60.46
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,72.3
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,73.49
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,71.1
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,69.12
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,72.67
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,65.54
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,68.83
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,68.29
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_READ,69.37
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SEXO._T,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,69.68
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SEXO.M,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,71.13
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SEXO.F,EDAD.Y16T65,TIPO_COMPETENCIA.SKILL_MATH,68.23
