Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,100
2011,UNIDAD_MEDIDA.PT,ES,100
2012,UNIDAD_MEDIDA.PT,ES,100
2013,UNIDAD_MEDIDA.PT,ES,100
2014,UNIDAD_MEDIDA.PT,ES,100
2015,UNIDAD_MEDIDA.PT,ES,100
2016,UNIDAD_MEDIDA.PT,ES,100
2017,UNIDAD_MEDIDA.PT,ES,100
2018,UNIDAD_MEDIDA.PT,ES,100
2019,UNIDAD_MEDIDA.PT,ES,100
2020,UNIDAD_MEDIDA.PT,ES,100
2021,UNIDAD_MEDIDA.PT,ES,100
2022,UNIDAD_MEDIDA.PT,ES,100
2010,UNIDAD_MEDIDA.PT,ES70,100
2011,UNIDAD_MEDIDA.PT,ES70,100
2012,UNIDAD_MEDIDA.PT,ES70,100
2013,UNIDAD_MEDIDA.PT,ES70,100
2014,UNIDAD_MEDIDA.PT,ES70,100
2015,UNIDAD_MEDIDA.PT,ES70,100
2016,UNIDAD_MEDIDA.PT,ES70,100
2017,UNIDAD_MEDIDA.PT,ES70,100
2018,UNIDAD_MEDIDA.PT,ES70,100
2019,UNIDAD_MEDIDA.PT,ES70,100
2020,UNIDAD_MEDIDA.PT,ES70,100
2021,UNIDAD_MEDIDA.PT,ES70,100
2022,UNIDAD_MEDIDA.PT,ES70,100
