Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,80.60
2012,UNIDAD_MEDIDA.PT,ES,86.70
2013,UNIDAD_MEDIDA.PT,ES,89.80
2014,UNIDAD_MEDIDA.PT,ES,91.50
2015,UNIDAD_MEDIDA.PT,ES,92.70
2017,UNIDAD_MEDIDA.PT,ES,94.60
2019,UNIDAD_MEDIDA.PT,ES,96.80
2021,UNIDAD_MEDIDA.PT,ES,97.40
2011,UNIDAD_MEDIDA.PT,ES70,76.80
2012,UNIDAD_MEDIDA.PT,ES70,82.00
2013,UNIDAD_MEDIDA.PT,ES70,82.20
2014,UNIDAD_MEDIDA.PT,ES70,85.00
2015,UNIDAD_MEDIDA.PT,ES70,85.20
2017,UNIDAD_MEDIDA.PT,ES70,89.10
2019,UNIDAD_MEDIDA.PT,ES70,98.80
2021,UNIDAD_MEDIDA.PT,ES70,94.90
