Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.NUMBER,ES,4.30
2011,UNIDAD_MEDIDA.NUMBER,ES,3.50
2012,UNIDAD_MEDIDA.NUMBER,ES,3.20
2013,UNIDAD_MEDIDA.NUMBER,ES,3.10
2014,UNIDAD_MEDIDA.NUMBER,ES,3.00
2015,UNIDAD_MEDIDA.NUMBER,ES,3.00
2017,UNIDAD_MEDIDA.NUMBER,ES,3.00
2019,UNIDAD_MEDIDA.NUMBER,ES,2.90
2021,UNIDAD_MEDIDA.NUMBER,ES,2.50
2023,UNIDAD_MEDIDA.NUMBER,ES,2.20
2010,UNIDAD_MEDIDA.NUMBER,ES70,6.20
2011,UNIDAD_MEDIDA.NUMBER,ES70,5.20
2012,UNIDAD_MEDIDA.NUMBER,ES70,4.20
2013,UNIDAD_MEDIDA.NUMBER,ES70,3.70
2014,UNIDAD_MEDIDA.NUMBER,ES70,3.80
2015,UNIDAD_MEDIDA.NUMBER,ES70,3.80
2017,UNIDAD_MEDIDA.NUMBER,ES70,3.20
2019,UNIDAD_MEDIDA.NUMBER,ES70,2.50
2021,UNIDAD_MEDIDA.NUMBER,ES70,2.20
2023,UNIDAD_MEDIDA.NUMBER,ES70,1.90
