Year,Units,Territorio,Value
2015,Porcentaje,ES70,0.00
2011,Porcentaje,ES70,0.03
2017,Porcentaje,ES,0.01
2019,Porcentaje,ES70,0.00
2013,Porcentaje,ES70,0.00
2013,Porcentaje,ES,0.02
2010,Porcentaje,ES,0.03
2011,Porcentaje,ES,0.03
2012,Porcentaje,ES,0.02
2014,Porcentaje,ES,0.01
2015,Porcentaje,ES,0.01
2016,Porcentaje,ES,0.01
2018,Porcentaje,ES,0.01
2019,Porcentaje,ES,0.01
2010,Porcentaje,ES70,0.02
2012,Porcentaje,ES70,0.02
2014,Porcentaje,ES70,0.02
2016,Porcentaje,ES70,0.00
2017,Porcentaje,ES70,0.00
2018,Porcentaje,ES70,0.00
