Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,35.18
2011,UNIDAD_MEDIDA.PT,ES,35.57
2012,UNIDAD_MEDIDA.PT,ES,35.88
2013,UNIDAD_MEDIDA.PT,ES,36.25
2014,UNIDAD_MEDIDA.PT,ES,36.60
2015,UNIDAD_MEDIDA.PT,ES,36.79
2016,UNIDAD_MEDIDA.PT,ES,37.10
2017,UNIDAD_MEDIDA.PT,ES,37.20
2018,UNIDAD_MEDIDA.PT,ES,37.47
2019,UNIDAD_MEDIDA.PT,ES,37.67
2020,UNIDAD_MEDIDA.PT,ES,37.65
2021,UNIDAD_MEDIDA.PT,ES,38.03
2010,UNIDAD_MEDIDA.PT,ES70,35.31
2011,UNIDAD_MEDIDA.PT,ES70,35.71
2012,UNIDAD_MEDIDA.PT,ES70,36.01
2013,UNIDAD_MEDIDA.PT,ES70,36.54
2014,UNIDAD_MEDIDA.PT,ES70,37.10
2015,UNIDAD_MEDIDA.PT,ES70,37.22
2016,UNIDAD_MEDIDA.PT,ES70,37.29
2017,UNIDAD_MEDIDA.PT,ES70,37.39
2018,UNIDAD_MEDIDA.PT,ES70,37.44
2019,UNIDAD_MEDIDA.PT,ES70,37.81
2020,UNIDAD_MEDIDA.PT,ES70,37.79
2021,UNIDAD_MEDIDA.PT,ES70,38.38
