Year,Units,general.territorio,Serie,Serie temporal,Value
2011,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,29.53
2012,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,36.39
2013,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,37.65
2014,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,36.28
2015,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,33.72
2016,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,35.44
2017,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,31.78
2018,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,26.29
2011,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,26.43
2012,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,39.28
2013,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,39.39
2014,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,29.72
2015,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,27.76
2016,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,32.24
2017,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,35.01
2018,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,28.04
2011,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,28.09
2012,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,28.78
2013,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,29.34
2014,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,29.42
2015,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,30.35
2016,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,30.31
2017,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,30.92
2018,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,31.91
2019,Porcentaje,ES,Serie B,Proporción de mujeres en alta dirección,33.73
2011,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,29.95
2012,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,30.21
2013,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,30.76
2014,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,30.88
2015,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,31.38
2016,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,32.2
2017,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,30.59
2018,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,32.13
2019,Porcentaje,ES,Serie A,Proporción de mujeres en cargos directivos,33.23
2019,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,30.45
2019,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,33.38
2020,Porcentaje,ES70,Serie A,Proporción de mujeres en cargos directivos,30.83
2020,Porcentaje,ES70,Serie B,Proporción de mujeres en alta dirección,20.23
