Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,43.74
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,44.88
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,45.03
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,44.08
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,41.31
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,46.64
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,33.08
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,32.76
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,34.55
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,32.69
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,30.28
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,32.90
