Year,Units,general.territorio,Serie,DIM_DES.TIPO_TENENCIA,Value
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,TIPO_TENENCIA._T,32.68
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,TIPO_TENENCIA._T,32.42
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,TIPO_TENENCIA._L_TTNR_OWN,33.68
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,TIPO_TENENCIA._L_TTNR_OWN,34.74
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,TIPO_TENENCIA._L_TTNR_LEASE,28.09
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,TIPO_TENENCIA._L_TTNR_LEASE,24.17
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,TIPO_TENENCIA._T,31.45
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,TIPO_TENENCIA._T,30.17
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,TIPO_TENENCIA._T,28.07
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,TIPO_TENENCIA._L_TTNR_OWN,33.24
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,TIPO_TENENCIA._L_TTNR_OWN,32.64
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,TIPO_TENENCIA._L_TTNR_OWN,29.89
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,TIPO_TENENCIA._L_TTNR_LEASE,25.99
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,TIPO_TENENCIA._L_TTNR_LEASE,25.88
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,TIPO_TENENCIA._L_TTNR_LEASE,20.99
