Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.1T6,ES,6.00
2016,UNIDAD_MEDIDA.1T6,ES,6.00
2017,UNIDAD_MEDIDA.1T6,ES,6.00
2018,UNIDAD_MEDIDA.1T6,ES,6.00
2019,UNIDAD_MEDIDA.1T6,ES,6.00
2020,UNIDAD_MEDIDA.1T6,ES,6.00
2021,UNIDAD_MEDIDA.1T6,ES,6.00
2022,UNIDAD_MEDIDA.1T6,ES,6.00
2015,UNIDAD_MEDIDA.1T6,ES70,6.00
2016,UNIDAD_MEDIDA.1T6,ES70,6.00
2017,UNIDAD_MEDIDA.1T6,ES70,6.00
2018,UNIDAD_MEDIDA.1T6,ES70,6.00
2019,UNIDAD_MEDIDA.1T6,ES70,6.00
2020,UNIDAD_MEDIDA.1T6,ES70,6.00
2021,UNIDAD_MEDIDA.1T6,ES70,6.00
2022,UNIDAD_MEDIDA.1T6,ES70,6.00
