Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,94.38
2013,UNIDAD_MEDIDA.PT,ES,94.18
2014,UNIDAD_MEDIDA.PT,ES,95.01
2015,UNIDAD_MEDIDA.PT,ES,95.45
2017,UNIDAD_MEDIDA.PT,ES,96.16
2019,UNIDAD_MEDIDA.PT,ES,96.92
2020,UNIDAD_MEDIDA.PT,ES,98.89
2010,UNIDAD_MEDIDA.PT,ES70,92.50
2011,UNIDAD_MEDIDA.PT,ES70,91.30
2012,UNIDAD_MEDIDA.PT,ES70,94.00
2013,UNIDAD_MEDIDA.PT,ES70,93.30
2014,UNIDAD_MEDIDA.PT,ES70,94.70
2015,UNIDAD_MEDIDA.PT,ES70,92.90
2017,UNIDAD_MEDIDA.PT,ES70,93.70
2019,UNIDAD_MEDIDA.PT,ES70,96.20
2020,UNIDAD_MEDIDA.PT,ES70,97.26
