Year,Units,general.territorio,Value
2020,UNIDAD_MEDIDA.PT,ES70,97.92
2020,UNIDAD_MEDIDA.PT,ES,98.91
2019,UNIDAD_MEDIDA.PT,ES70,97.20
2017,UNIDAD_MEDIDA.PT,ES70,94.40
2015,UNIDAD_MEDIDA.PT,ES70,95.40
2014,UNIDAD_MEDIDA.PT,ES70,95.30
2013,UNIDAD_MEDIDA.PT,ES70,92.50
2012,UNIDAD_MEDIDA.PT,ES70,92.90
2011,UNIDAD_MEDIDA.PT,ES70,91.20
2010,UNIDAD_MEDIDA.PT,ES70,92.70
2019,UNIDAD_MEDIDA.PT,ES,97.12
2017,UNIDAD_MEDIDA.PT,ES,96.11
2015,UNIDAD_MEDIDA.PT,ES,95.52
2014,UNIDAD_MEDIDA.PT,ES,95.33
2013,UNIDAD_MEDIDA.PT,ES,94.35
2012,UNIDAD_MEDIDA.PT,ES,94.1
