Year,Units,general.territorio,Serie,DIM_DES.SEXO_DISCAPACIDAD,Value
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.52
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.53
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.57
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.64
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.80
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,15.01
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.88
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,15.13
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,15.54
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,15.85
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,16.15
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,16.54
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,17.19
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.56
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.68
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.83
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.87
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.84
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,16.04
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,15.94
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,16.10
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,16.52
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,16.63
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,16.92
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,17.30
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,17.96
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.24
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.12
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.10
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.21
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.56
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.80
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.60
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.93
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,14.36
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,14.92
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,15.22
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,15.61
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,16.30
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.10
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.20
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.80
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.60
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.30
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.00
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.70
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.90
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.10
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.70
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.90
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,14.30
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,14.6
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.60
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.60
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.60
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.70
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.90
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,15.10
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,14.90
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,15.20
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,15.60
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,15.90
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,16.20
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,16.60
2022,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,17.3
2010,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.00
2011,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.20
2012,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.34
2013,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.35
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.22
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.59
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.24
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.49
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,12.94
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,13.24
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,13.61
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,14.04
2022,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_A,SEXO_DISCAPACIDAD._T,11.38
2010,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.51
2011,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.76
2012,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,13.06
2013,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.81
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.57
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,13.13
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.79
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,12.80
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,13.43
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,13.45
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,13.73
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,14.31
2022,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,SEXO_DISCAPACIDAD.M,11.24
2010,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.44
2011,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.56
2012,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.58
2013,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.83
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.84
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.98
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.60
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,12.11
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,12.36
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,12.98
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.46
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,13.73
2022,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,SEXO_DISCAPACIDAD.F,11.54
2010,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.70
2011,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.90
2012,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.80
2013,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.40
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.50
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,11.20
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,10.60
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,10.70
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,11.70
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,12.9
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,13.1
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,14.1
2022,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_D,SEXO_DISCAPACIDAD.PD,14.2
2010,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.00
2011,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.20
2012,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.30
2013,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.30
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.20
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.60
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_E,SEXO_DISCAPACIDAD.PWD,12.30
