Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.PT,ES,65.55
2018,UNIDAD_MEDIDA.PT,ES,67.01
2019,UNIDAD_MEDIDA.PT,ES,68.03
2020,UNIDAD_MEDIDA.PT,ES,65.73
2021,UNIDAD_MEDIDA.PT,ES,67.69
2022,UNIDAD_MEDIDA.PT,ES,69.52
2010,UNIDAD_MEDIDA.PT,ES70,54.89
2011,UNIDAD_MEDIDA.PT,ES70,55.24
2012,UNIDAD_MEDIDA.PT,ES70,52.98
2013,UNIDAD_MEDIDA.PT,ES70,51.90
2014,UNIDAD_MEDIDA.PT,ES70,52.34
2015,UNIDAD_MEDIDA.PT,ES70,55.60
2016,UNIDAD_MEDIDA.PT,ES70,57.65
2017,UNIDAD_MEDIDA.PT,ES70,58.98
2018,UNIDAD_MEDIDA.PT,ES70,61.57
2019,UNIDAD_MEDIDA.PT,ES70,61.42
2020,UNIDAD_MEDIDA.PT,ES70,57.07
2021,UNIDAD_MEDIDA.PT,ES70,57.60
2022,UNIDAD_MEDIDA.PT,ES70,63.41
2023,UNIDAD_MEDIDA.PT,ES70,65.03
