Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.PC_PNT,ES,-6.84
2018,UNIDAD_MEDIDA.PC_PNT,ES,-6.71
2019,UNIDAD_MEDIDA.PC_PNT,ES,-6.22
2020,UNIDAD_MEDIDA.PC_PNT,ES,-5.75
2021,UNIDAD_MEDIDA.PC_PNT,ES,-6.26
2022,UNIDAD_MEDIDA.PC_PNT,ES,-5.72
2010,UNIDAD_MEDIDA.PC_PNT,ES70,-6.16
2011,UNIDAD_MEDIDA.PC_PNT,ES70,-5.93
2012,UNIDAD_MEDIDA.PC_PNT,ES70,-5.02
2013,UNIDAD_MEDIDA.PC_PNT,ES70,-6.25
2014,UNIDAD_MEDIDA.PC_PNT,ES70,-5.70
2015,UNIDAD_MEDIDA.PC_PNT,ES70,-5.44
2016,UNIDAD_MEDIDA.PC_PNT,ES70,-5.28
2017,UNIDAD_MEDIDA.PC_PNT,ES70,-5.06
2018,UNIDAD_MEDIDA.PC_PNT,ES70,-6.28
2019,UNIDAD_MEDIDA.PC_PNT,ES70,-5.64
2020,UNIDAD_MEDIDA.PC_PNT,ES70,-6.02
2021,UNIDAD_MEDIDA.PC_PNT,ES70,-4.08
2022,UNIDAD_MEDIDA.PC_PNT,ES70,-4.20
2023,UNIDAD_MEDIDA.PC_PNT,ES70,-3.33
