Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO_DISCAPACIDAD,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,19.86
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,21.39
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,24.79
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,26.09
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,24.44
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,22.06
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,19.63
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,17.22
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,15.25
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,14.10
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,15.53
