Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,10.8
2017,UNIDAD_MEDIDA.PT,ES,13.94
2018,UNIDAD_MEDIDA.PT,ES,13.32
2019,UNIDAD_MEDIDA.PT,ES,14.79
2020,UNIDAD_MEDIDA.PT,ES,11.94
2021,UNIDAD_MEDIDA.PT,ES,11.88
2022,UNIDAD_MEDIDA.PT,ES,15.40
2023,UNIDAD_MEDIDA.PT,ES,17.73
2016,UNIDAD_MEDIDA.PT,ES70,1.26
2017,UNIDAD_MEDIDA.PT,ES70,1.49
2018,UNIDAD_MEDIDA.PT,ES70,1.37
2019,UNIDAD_MEDIDA.PT,ES70,1.70
2020,UNIDAD_MEDIDA.PT,ES70,1.59
2021,UNIDAD_MEDIDA.PT,ES70,1.86
2022,UNIDAD_MEDIDA.PT,ES70,1.76
2023,UNIDAD_MEDIDA.PT,ES70,2.74
