Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,27.99
2017,UNIDAD_MEDIDA.PT,ES,27.64
2018,UNIDAD_MEDIDA.PT,ES,25.85
2019,UNIDAD_MEDIDA.PT,ES,25.98
2020,UNIDAD_MEDIDA.PT,ES,43.57
2021,UNIDAD_MEDIDA.PT,ES,33.04
2022,UNIDAD_MEDIDA.PT,ES,25.98
2023,UNIDAD_MEDIDA.PT,ES,24.62
2016,UNIDAD_MEDIDA.PT,ES70,19.95
2017,UNIDAD_MEDIDA.PT,ES70,18.84
2018,UNIDAD_MEDIDA.PT,ES70,18.84
2019,UNIDAD_MEDIDA.PT,ES70,19.62
2020,UNIDAD_MEDIDA.PT,ES70,53.37
2021,UNIDAD_MEDIDA.PT,ES70,33.52
2022,UNIDAD_MEDIDA.PT,ES70,20.14
2022,UNIDAD_MEDIDA.PT,ES70,18.87
2023,UNIDAD_MEDIDA.PT,ES70,20.14
