Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,3.23
2013,UNIDAD_MEDIDA.PT,ES,3.34
2014,UNIDAD_MEDIDA.PT,ES,3.47
2015,UNIDAD_MEDIDA.PT,ES,3.45
2016,UNIDAD_MEDIDA.PT,ES,3.58
2017,UNIDAD_MEDIDA.PT,ES,3.65
2018,UNIDAD_MEDIDA.PT,ES,3.57
2019,UNIDAD_MEDIDA.PT,ES,3.59
2020,UNIDAD_MEDIDA.PT,ES,3.48
2021,UNIDAD_MEDIDA.PT,ES,3.49
2010,UNIDAD_MEDIDA.PT,ES70,3.82
2011,UNIDAD_MEDIDA.PT,ES70,2.36
2012,UNIDAD_MEDIDA.PT,ES70,2.32
2013,UNIDAD_MEDIDA.PT,ES70,2.08
2014,UNIDAD_MEDIDA.PT,ES70,2.44
2015,UNIDAD_MEDIDA.PT,ES70,3.04
2016,UNIDAD_MEDIDA.PT,ES70,2.56
2017,UNIDAD_MEDIDA.PT,ES70,2.84
2018,UNIDAD_MEDIDA.PT,ES70,2.85
2019,UNIDAD_MEDIDA.PT,ES70,3.49
2020,UNIDAD_MEDIDA.PT,ES70,2.47
2021,UNIDAD_MEDIDA.PT,ES70,2.88
2022,UNIDAD_MEDIDA.PT,ES70,3.31
