Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,Value
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.63
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,27.86
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,27.02
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.43
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,12.65
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,17.15
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,24.70
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.04
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.78
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,13.62
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,13.20
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.61
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,3.12
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,5.37
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,11.29
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.71
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,14.04
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,17.69
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,16.70
