Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.FORMA_MEDIR_EMPLEO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.85
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.76
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.61
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.36
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.35
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.45
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.45
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.71
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.65
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.61
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.66
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.66
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.29
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.06
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,11.16
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.90
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.51
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.18
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.97
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.91
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.05
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.01
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.05
