Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SALDO_CONTABLE,Value
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.33
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.33
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.34
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.32
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.31
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.31
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.29
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.3
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.28
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.26
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_GDP,0.26
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.68
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.65
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.68
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.64
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.62
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.61
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.59
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.59
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.61
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090401_S1,SALDO_CONTABLE._L_AB_MVA,0.57
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090401_05,,22.79
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090401_05,,23.16
