Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,96.4
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,98.9
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.65
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.72
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.9
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.9
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.91
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.97
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,47.8
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,76.35
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,94.42
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,97.22
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.53
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.77
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.87
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.91
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,95.1
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.58
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.69
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.91
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.9
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.94
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090C01_01,99.98
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,23.7
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,83.32
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,97.03
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,98.1
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.77
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.86
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.95
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL.IT_MOB_4GNTWK,99.94
